Year,MillionTons,PoundPrice,Licenses,MillionTraps,WaterTempCelcius,GasPrices,DieselPrices,GDPBillions
1939,3005,0.15,3722,0.26,6.4,,,
1940,3468,0.17,3717,0.222,7,,,
1941,4055,0.18,3648,0.194,7.9,,,
1942,3813,0.21,3511,0.187,8.1,,,
1943,5203,0.25,4239,0.209,7.4,,,
1944,6377,0.28,4926,0.252,8,,,
1945,8678,0.4,6241,0.378,8.4,,,
1946,8518,0.38,6574,0.473,8.5,,,
1947,8291,0.37,5338,0.516,9.2,,,
1948,7224,0.4,5345,0.439,8.2,,,
1949,8744,0.35,5424,0.462,6.7,,,
1950,8325,0.35,5152,0.43,9.9,,,
1951,9416,0.35,4653,0.383,10.8,,,
1952,9088,0.42,5032,0.417,10.1,,,
1953,10115,0.38,5497,0.49,11.1,,,
1954,9828,0.37,5794,0.488,10.2,,,
1955,10305,0.38,6051,0.532,10,,,
1956,9331,0.44,5892,0.533,9.2,,,
1957,11069,0.37,6068,0.565,9.2,,,
1958,9667,0.49,6236,0.609,8.5,,,
1959,10128,0.5,6488,0.717,8.3,,,
1960,10893,0.46,6636,0.745,8.8,,,
1961,9488,0.53,6472,0.752,8.5,,,
1962,10013,0.51,5658,0.767,8.1,,,
1963,10344,0.55,5695,0.731,8.8,,,
1964,9489,0.66,5803,0.754,8.3,,,
1965,8556,0.75,5802,0.789,7.7,,,
1966,9034,0.75,5613,0.776,7.6,,,
1967,7479,0.82,5425,0.715,7.3,,,
1968,9299,0.73,5489,0.747,8.1,,,
1969,8997,0.81,5750,0.805,8.9,,,
1970,8243,0.95,6316,1.18,8.9,,,
1971,7964,1,6702,1.278,8.7,,,
1972,7374,1.14,7045,1.448,8.4,,,
1973,7731,1.37,7894,1.172,8.8,,,
1974,7465,1.41,10523,1.79,9.2,,,
1975,7491,1.61,10455,1.771,9.4,,,
1976,8619,1.54,9041,1.754,9.3,,,
1977,8386,1.74,8827,1.739,8.7,,,
1978,8677,1.77,8712,1.723,8,,,
1979,10039,1.8,8600,1.81,8.9,,,
1980,9973,1.9,9200,1.846,8,,,
1981,10266,2.09,8548,1.825,8.4,,,
1982,10310,2.21,8891,2.143,9,,,
1983,9968,2.33,8895,2.34,8.8,,,
1984,8866,2.52,8730,2.175,8.7,,,
1985,9129,2.24,4789,1.766,9,,,
1986,8938,2.34,4840,1.595,8.5,,,
1987,8957,2.76,5285,1.909,8.2,,,
1988,9861,2.79,5627,2.053,8.5,,,
1989,10600,2.55,6172,2.001,8.2,,,
1990,12732,2.2,6617,2.13,9.2,,,
1991,13966,2.35,6839,2.015,9.2,,,
1992,12170,2.68,6063,2.012,8.9,,,
1993,13574,2.47,5836,1.806,8.5,,,
1994,17667,2.59,6247,2.785,9.3,,,
1995,16877,2.74,7469,2.408,9.8,1.147,1.106,
1996,16367,2.96,6992,2.451,9.2,1.216,1.231,
1997,21329,2.94,7118,2.589,9,1.223,1.195,46.18
1998,21336,2.92,6937,2.837,9.2,1.043,1.051,47.96
1999,24265,3.45,6794,3.051,9.9,1.133,1.107,50.54
2000,25953,3.28,6873,2.776,9.9,1.481,1.503,52.97
2001,22053,3.17,6831,2.966,10,1.388,1.39,54.17
2002,28860,3.32,6799,3.092,10.6,1.345,1.322,55.66
2003,24934,3.74,6822,3.207,10.1,1.554,1.529,56.9
2004,32466,4.04,6799,3.237,10.2,1.874,1.808,58.96
2005,31175,4.63,6720,3.286,11.2,2.319,2.409,58.91
2006,34176,4.05,6614,3.293,12.5,2.611,2.704,59.74
2007,29019,4.39,6498,3.275,9.3,2.824,2.878,59.68
2008,31710,3.51,6295,3.187,9.8,3.326,3.87,59.51
2009,36820,2.93,6055,3.106,9.5,2.399,2.503,59.76
2010,43640,3.31,5913,3.031,10.4,2.815,3.007,60.42
2011,47593,3.19,5931,2.995,10.3,3.564,3.862,59.35
2012,57752,2.69,5934,2.986,10.6,3.665,4.012,59.35
2013,57973,2.9,5793,2.946,9.5,3.574,3.947,59.21
2014,56393,3.7,5773,2.925,9.3,3.453,3.877,60.47
2015,55639,4.1,6014,2.805,8.9,2.471,2.791,61.76
2016,60149,4.08,6009,2.874,10.4,2.248,2.333,63.45
2017,50849,3.92,5997,2.883,9.9,2.51,2.681,64.28
2018,55112,4.05,5925,2.85,10.4,2.736,3.19,65.71
2019,46195,4.82,5834,2.814,9.9,2.556,3.081,67.72
2020,43822,4.2,5773,2.787,10.9,2.165,2.624,
